index,question,A,B,C,D,E,category,clinical VQA task,department,perceptual granularity,modality,original task
20000,Look at the uploaded image and tell me how many lymphocytes are there.,the number of lymphocytes:0,the number of lymphocytes:9,the number of lymphocytes:10,the number of lymphocytes:5,,the number of lymphocytes:0,Counting,Hematology,Image level,Histopathology,CLS_2D
20001,"Based on the provided image, can you tell me how many lymphocytes are present?",the number of lymphocytes:0,the number of lymphocytes:7,the number of lymphocytes:26,the number of lymphocytes:13,,the number of lymphocytes:0,Counting,Hematology,Image level,Histopathology,CLS_2D
20003,"From the image input, please count and tell me the number of lymphocytes shown.",the number of lymphocytes:38,the number of lymphocytes:33,the number of lymphocytes:23,the number of lymphocytes:0,,the number of lymphocytes:0,Counting,Hematology,Image level,Histopathology,CLS_2D
20008,"Using the given image, determine the number of lymphocytes it contains.",the number of lymphocytes:4,the number of lymphocytes:8,the number of lymphocytes:27,the number of lymphocytes:0,,the number of lymphocytes:0,Counting,Hematology,Image level,Histopathology,CLS_2D
20179,"From the image input, please count and tell me the number of lymphocytes shown.",the number of lymphocytes:16,the number of lymphocytes:26,the number of lymphocytes:12,the number of lymphocytes:43,,the number of lymphocytes:43,Counting,Hematology,Image level,Histopathology,CLS_2D
20188,Look at the uploaded image and tell me how many lymphocytes are there.,the number of lymphocytes:21,the number of lymphocytes:2,the number of lymphocytes:30,the number of lymphocytes:42,,the number of lymphocytes:2,Counting,Hematology,Image level,Histopathology,CLS_2D
20189,"Based on the provided image, can you tell me how many lymphocytes are present?",the number of lymphocytes:7,the number of lymphocytes:28,the number of lymphocytes:2,the number of lymphocytes:10,,the number of lymphocytes:2,Counting,Hematology,Image level,Histopathology,CLS_2D
20191,"Using the given image, determine the number of lymphocytes it contains.",the number of lymphocytes:42,the number of lymphocytes:0,the number of lymphocytes:29,the number of lymphocytes:2,,the number of lymphocytes:2,Counting,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20657,Determine which part is illustrated in the image.,band neutrophil,smudge cell,promyelocyte,lymphocyte,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20658,Identify the option that the content of the image corresponds to.,basophil,blast,promyelocyte,immature lymphocyte,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20660,Please identify which of the following options the content shown in the image belongs to?,promyelocyte,smudge cell,proerythroblast,erythroblast,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20662,Please identify the part shown in the image.,immature lymphocyte,promyelocyte,lymphocyte,monocyte,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20663,Please determine which option best matches the content displayed in the image.,promyelocyte,erythroblast,blast,lymphocyte,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20668,Identify the option that the content of the image corresponds to.,promyelocyte,erythroblast,segmented neutrophil,lymphocyte,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20677,Identify the option that the content of the image corresponds to.,promyelocyte,hairy cell,immature lymphocyte,metamyelocyte,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20678,Determine which part is illustrated in the image.,promyelocyte,erythroblast,abnormal eosinophil,band neutrophil,,promyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20681,Determine which part is illustrated in the image.,artefact,band neutrophil,myelocyte,basophil,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20682,Please identify the part shown in the image.,band neutrophil,other cell,artefact,erythroblast,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20683,Identify the option that the content of the image corresponds to.,faggott cell,metamyelocyte,smudge cell,band neutrophil,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20686,Please identify which of the following options the content shown in the image belongs to?,plasma cell,hairy cell,smudge cell,band neutrophil,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20687,Please determine which option best matches the content displayed in the image.,plasma cell,other cell,band neutrophil,artefact,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20691,Determine which part is illustrated in the image.,other cell,monocyte,band neutrophil,hairy cell,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20692,Please determine which option best matches the content displayed in the image.,band neutrophil,artefact,plasma cell,promyelocyte,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20705,Please identify which of the following options the content shown in the image belongs to?,proerythroblast,abnormal eosinophil,hairy cell,band neutrophil,,band neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20706,Determine which part is illustrated in the image.,proerythroblast,segmented neutrophil,band neutrophil,not identifiable,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20719,Please determine which option best matches the content displayed in the image.,blast,other cell,lymphocyte,proerythroblast,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20720,Identify the option that the content of the image corresponds to.,proerythroblast,segmented neutrophil,blast,abnormal eosinophil,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20723,Identify the option that the content of the image corresponds to.,erythroblast,hairy cell,immature lymphocyte,proerythroblast,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20724,Please identify the part shown in the image.,immature lymphocyte,abnormal eosinophil,basophil,proerythroblast,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20725,Please determine which option best matches the content displayed in the image.,abnormal eosinophil,basophil,proerythroblast,metamyelocyte,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20726,Please identify the part shown in the image.,basophil,monocyte,metamyelocyte,proerythroblast,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20728,Identify the option that the content of the image corresponds to.,metamyelocyte,artefact,proerythroblast,band neutrophil,,proerythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20731,Please determine which option best matches the content displayed in the image.,lymphocyte,blast,immature lymphocyte,plasma cell,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20732,Determine which part is illustrated in the image.,plasma cell,basophil,proerythroblast,segmented neutrophil,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20735,Identify the option that the content of the image corresponds to.,immature lymphocyte,eosinophil,plasma cell,band neutrophil,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20738,Please identify the part shown in the image.,myelocyte,plasma cell,blast,promyelocyte,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20739,Determine which part is illustrated in the image.,band neutrophil,lymphocyte,blast,plasma cell,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20750,Please determine which option best matches the content displayed in the image.,plasma cell,artefact,metamyelocyte,abnormal eosinophil,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20751,Please identify which of the following options the content shown in the image belongs to?,basophil,not identifiable,proerythroblast,plasma cell,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20752,Identify the option that the content of the image corresponds to.,immature lymphocyte,plasma cell,smudge cell,other cell,,plasma cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20856,Please identify the part shown in the image.,promyelocyte,monocyte,segmented neutrophil,metamyelocyte,,monocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20857,Identify the option that the content of the image corresponds to.,metamyelocyte,smudge cell,plasma cell,monocyte,,monocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20859,Determine which part is illustrated in the image.,not identifiable,monocyte,abnormal eosinophil,segmented neutrophil,,monocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20863,Please identify which of the following options the content shown in the image belongs to?,hairy cell,monocyte,abnormal eosinophil,blast,,monocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20864,Please determine which option best matches the content displayed in the image.,monocyte,plasma cell,abnormal eosinophil,myelocyte,,monocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20867,Determine which part is illustrated in the image.,metamyelocyte,monocyte,abnormal eosinophil,smudge cell,,monocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20868,Please determine which option best matches the content displayed in the image.,faggott cell,monocyte,not identifiable,basophil,,monocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20877,Determine which part is illustrated in the image.,monocyte,neutrophil,lymphocyte,eosinophil,,monocyte,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
,,,,,,,,,,,,
20881,Please identify which of the following options the content shown in the image belongs to?,lymphocyte,neutrophil,monocyte,eosinophil,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
20882,Please identify the part shown in the image.,lymphocyte,eosinophil,monocyte,neutrophil,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
20883,Identify the option that the content of the image corresponds to.,lymphocyte,neutrophil,eosinophil,monocyte,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
20884,Please determine which option best matches the content displayed in the image.,monocyte,lymphocyte,neutrophil,eosinophil,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
20886,Please identify which of the following options the content shown in the image belongs to?,eosinophil,monocyte,neutrophil,lymphocyte,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
20895,Identify the option that the content of the image corresponds to.,monocyte,neutrophil,eosinophil,lymphocyte,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
20896,Please determine which option best matches the content displayed in the image.,monocyte,neutrophil,eosinophil,lymphocyte,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
20897,Determine which part is illustrated in the image.,lymphocyte,neutrophil,monocyte,eosinophil,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
,,,,,,,,,,,,
20916,Please identify the part shown in the image.,lymphocyte,erythroblast,myelocyte,band neutrophil,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20917,Please identify which of the following options the content shown in the image belongs to?,myelocyte,immature lymphocyte,segmented neutrophil,metamyelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20918,Identify the option that the content of the image corresponds to.,proerythroblast,band neutrophil,erythroblast,myelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20920,Determine which part is illustrated in the image.,erythroblast,myelocyte,immature lymphocyte,smudge cell,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20922,Please identify which of the following options the content shown in the image belongs to?,other cell,myelocyte,smudge cell,proerythroblast,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20923,Identify the option that the content of the image corresponds to.,promyelocyte,lymphocyte,myelocyte,other cell,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20924,Please determine which option best matches the content displayed in the image.,proerythroblast,metamyelocyte,myelocyte,promyelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20928,Please identify the part shown in the image.,faggott cell,artefact,hairy cell,myelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20941,Please identify which of the following options the content shown in the image belongs to?,monocyte,artefact,myelocyte,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20942,Determine which part is illustrated in the image.,metamyelocyte,smudge cell,segmented neutrophil,faggott cell,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20944,Please identify which of the following options the content shown in the image belongs to?,smudge cell,monocyte,band neutrophil,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20946,Please identify the part shown in the image.,immature lymphocyte,basophil,metamyelocyte,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20947,Please determine which option best matches the content displayed in the image.,monocyte,segmented neutrophil,abnormal eosinophil,immature lymphocyte,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20948,Identify the option that the content of the image corresponds to.,segmented neutrophil,lymphocyte,abnormal eosinophil,other cell,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20952,Please identify the part shown in the image.,promyelocyte,hairy cell,smudge cell,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20953,Please determine which option best matches the content displayed in the image.,myelocyte,segmented neutrophil,monocyte,band neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20960,Determine which part is illustrated in the image.,band neutrophil,metamyelocyte,artefact,hairy cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20961,Please identify which of the following options the content shown in the image belongs to?,hairy cell,segmented neutrophil,myelocyte,monocyte,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20963,Please determine which option best matches the content displayed in the image.,hairy cell,band neutrophil,not identifiable,eosinophil,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20964,Identify the option that the content of the image corresponds to.,proerythroblast,hairy cell,immature lymphocyte,faggott cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20969,Determine which part is illustrated in the image.,monocyte,metamyelocyte,abnormal eosinophil,hairy cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20970,Please identify the part shown in the image.,artefact,abnormal eosinophil,hairy cell,basophil,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20971,Please identify which of the following options the content shown in the image belongs to?,basophil,lymphocyte,hairy cell,artefact,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20973,Identify the option that the content of the image corresponds to.,hairy cell,metamyelocyte,promyelocyte,other cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21035,Please determine which option best matches the content displayed in the image.,eosinophil,blast,lymphocyte,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21036,Please identify the part shown in the image.,faggott cell,basophil,eosinophil,promyelocyte,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21037,Identify the option that the content of the image corresponds to.,blast,faggott cell,band neutrophil,segmented neutrophil,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21040,Determine which part is illustrated in the image.,faggott cell,smudge cell,basophil,segmented neutrophil,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21050,Please determine which option best matches the content displayed in the image.,lymphocyte,erythroblast,faggott cell,eosinophil,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21051,Determine which part is illustrated in the image.,band neutrophil,erythroblast,eosinophil,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21052,Please identify the part shown in the image.,monocyte,artefact,myelocyte,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21053,Please identify the part shown in the image.,blast,lymphocyte,other cell,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21063,Identify the option that the content of the image corresponds to.,other cell,myelocyte,hairy cell,metamyelocyte,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21064,Please identify which of the following options the content shown in the image belongs to?,promyelocyte,segmented neutrophil,metamyelocyte,other cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21072,Please determine which option best matches the content displayed in the image.,metamyelocyte,promyelocyte,other cell,plasma cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21073,Determine which part is illustrated in the image.,metamyelocyte,hairy cell,immature lymphocyte,smudge cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21074,Identify the option that the content of the image corresponds to.,metamyelocyte,monocyte,smudge cell,faggott cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21075,Please identify the part shown in the image.,proerythroblast,metamyelocyte,immature lymphocyte,not identifiable,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21076,Please determine which option best matches the content displayed in the image.,metamyelocyte,proerythroblast,abnormal eosinophil,monocyte,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21083,Determine which part is illustrated in the image.,smudge cell,blast,proerythroblast,immature lymphocyte,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21084,Please determine which option best matches the content displayed in the image.,blast,faggott cell,lymphocyte,metamyelocyte,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21085,Please identify which of the following options the content shown in the image belongs to?,blast,lymphocyte,monocyte,promyelocyte,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21094,Determine which part is illustrated in the image.,other cell,promyelocyte,band neutrophil,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21095,Please identify which of the following options the content shown in the image belongs to?,erythroblast,not identifiable,segmented neutrophil,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21096,Identify the option that the content of the image corresponds to.,smudge cell,erythroblast,not identifiable,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21098,Please determine which option best matches the content displayed in the image.,faggott cell,not identifiable,myelocyte,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21099,Please identify the part shown in the image.,blast,plasma cell,proerythroblast,artefact,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21134,Please determine which option best matches the content displayed in the image.,segmented neutrophil,plasma cell,smudge cell,erythroblast,,smudge cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21135,Please identify which of the following options the content shown in the image belongs to?,smudge cell,proerythroblast,promyelocyte,other cell,,smudge cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21136,Determine which part is illustrated in the image.,smudge cell,faggott cell,proerythroblast,blast,,smudge cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
